0.8,0.658,1,-6.142,0,0.079,0.25,0,0.111,0.462,140.042
0.625,0.811,0,-5.183,1,0.0659,0.0173,0,0.16,0.532,144.994
0.652,0.383,2,-7.076,0,0.0516,0.0676,0,0.0828,0.549,145.765
0.795,0.574,2,-6.903,0,0.487,0.067,0,0.15,0.537,142.053
0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941
0.784,0.43,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.087
0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765
0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928
0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042
0.822,0.743,10,-4.772,0,0.28,0.016,0,0.127,0.636,84.459
0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148
0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0
0.687,0.514,9,-6.612,0,0.0897,0.366,0,0.116,0.494,145.921
0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881
0.591,0.585,2,-6.35,1,0.0277,0.143,0,0.109,0.324,110.94
0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048
0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013
0.728,0.431,6,-9.966,0,0.0622,0.749,0,0.0996,0.629,130.022
0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735
0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971
0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071
0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019
0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009
0.712,0.598,7,-5.368,0,0.0388,0.0546,0,0.154,0.504,130.007
0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022
0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978
0.781,0.67,3,-3.912,0,0.0452,0.0103,0,0.0761,0.595,127.99
0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977
0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979
0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145.013
0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031
0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953
0.767,0.481,0,-8.52,0,0.0803,0.234,0,0.269,0.761,150.076
0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066
0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976
0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995
0.673,0.704,6,-8.056,1,0.36,0.196,0,0.0898,0.372,86.919
0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021
0.862,0.631,7,-4.746,1,0.0515,0.291,0.000209,0.123,0.841,128.978
0.838,0.545,5,-6.713,1,0.0706,0.208,8.01e-05,0.103,0.631,114.998
0.728,0.685,5,-5.096,0,0.0433,0.00391,0,0.152,0.33,124.934
0.591,0.848,9,-4.397,0,0.0828,0.137,0,0.372,0.386,105.922
0.894,0.635,2,-6.929,1,0.0473,0.193,0.00105,0.0823,0.428,105.013
0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085
0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006
0.63,0.633,4,-7.088,1,0.0457,0.00776,0,0.0541,0.452,93.995
0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891
0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948
0.631,0.239,11,-7.071,0,0.0398,0.864,0,0.116,0.0927,79.859
0.571,0.693,6,-8.234,0,0.0545,0.00536,0,0.173,0.393,168.169
0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05
0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967
0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067
0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801
0.723,0.704,10,-7.088,0,0.0571,0.0259,0.00109,0.792,0.684,105.095
0.752,0.87,9,-3.812,0,0.0623,0.0604,1.12e-05,0.489,0.784,120.006
0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972
0.68,0.729,5,-5.077,1,0.0475,0.612,0,0.224,0.446,123.97
0.79,0.694,9,-7.726,0,0.0708,0.145,0.00252,0.281,0.508,103.007
0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96
0.79,0.729,9,-3.843,1,0.334,0.0342,9.31e-05,0.0411,0.904,159.989
0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148
0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898
0.776,0.509,0,-6.266,0,0.467,0.192,1.49e-06,0.115,0.485,94.634
0.43,0.7,6,-5.35,1,0.264,0.0902,0,0.216,0.731,158.373
0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039
0.654,0.707,6,-5.661,1,0.0664,0.00559,0,0.0873,0.448,127.97
0.676,0.815,8,-4.294,1,0.0625,0.00146,0.00041,0.275,0.796,117.973
0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078
0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172
0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469
0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985
0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088
0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745
